scope,category,rank,method,requested_ratio,pattern_id,language,psm,cer,edit_distance,reference_chars,reference,prediction,tie_count
english,overall_method,best,bin_ceil,,,,,0.0,0,17,,,5
english,overall_method,worst,bin_ceil,,,,,0.0,0,17,,,5
english,scaling_ratio,best,,1.0,,,,0.0,0,5,,,17
english,scaling_ratio,worst,,1.0,,,,0.0,0,5,,,17
english,method_by_ratio,best,bin_ceil,1.0,,,,0.0,0,1,,,85
english,method_by_ratio,worst,bin_ceil,1.0,,,,0.0,0,1,,,85
english,non_binning_method_by_ratio,best,lanczos2_7tap_16phase,1.0,,,,0.0,0,1,,,51
english,non_binning_method_by_ratio,worst,lanczos2_7tap_16phase,1.0,,,,0.0,0,1,,,51
english,individual_case,best,bin_ceil,1.0,en_char_a,en,10,0.0,0,1,A,A,85
english,individual_case,worst,bin_ceil,1.0,en_char_a,en,10,0.0,0,1,A,A,85
traditional_chinese,overall_method,best,lanczos3_7tap_16phase,,,,,0.08308823529411764,113,1360,,,1
traditional_chinese,overall_method,worst,bin_ceil,,,,,0.17205882352941176,234,1360,,,1
traditional_chinese,scaling_ratio,best,,2.625,,,,0.0875,35,400,,,2
traditional_chinese,scaling_ratio,worst,,1.133333333333,,,,0.1925,77,400,,,1
traditional_chinese,method_by_ratio,best,lanczos3_7tap_16phase,2.066666666667,,,,0.0375,3,80,,,1
traditional_chinese,method_by_ratio,worst,bin_ceil,1.133333333333,,,,0.575,46,80,,,1
traditional_chinese,non_binning_method_by_ratio,best,lanczos3_7tap_16phase,2.066666666667,,,,0.0375,3,80,,,1
traditional_chinese,non_binning_method_by_ratio,worst,lanczos2_7tap_16phase,2.333333333333,,,,0.2625,21,80,,,1
traditional_chinese,individual_case,best,bin_ceil,1.0,zh_char_01,zh_tra,10,0.0,0,1,做,做,589
traditional_chinese,individual_case,worst,bin_ceil,1.133333333333,zh_char_01,zh_tra,10,1.0,1,1,做,,85
combined,overall_method,best,lanczos3_7tap_16phase,,,,,0.08206245461147423,113,1377,,,1
combined,overall_method,worst,bin_ceil,,,,,0.16993464052287582,234,1377,,,1
combined,scaling_ratio,best,,2.625,,,,0.08641975308641975,35,405,,,2
combined,scaling_ratio,worst,,1.133333333333,,,,0.19012345679012346,77,405,,,1
combined,method_by_ratio,best,lanczos3_7tap_16phase,2.066666666667,,,,0.037037037037037035,3,81,,,1
combined,method_by_ratio,worst,bin_ceil,1.133333333333,,,,0.5679012345679012,46,81,,,1
combined,non_binning_method_by_ratio,best,lanczos3_7tap_16phase,2.066666666667,,,,0.037037037037037035,3,81,,,1
combined,non_binning_method_by_ratio,worst,lanczos2_7tap_16phase,2.333333333333,,,,0.25925925925925924,21,81,,,1
combined,individual_case,best,bin_ceil,1.0,en_char_a,en,10,0.0,0,1,A,A,674
combined,individual_case,worst,bin_ceil,1.133333333333,zh_char_01,zh_tra,10,1.0,1,1,做,,85
