requested_ratio,method,scope,edit_distance,reference_chars,cer,pattern_count
1.0,bin_ceil,english,0,1,0.0,1
1.0,bin_ceil,traditional_chinese,14,80,0.175,12
1.0,bin_ceil,combined,14,81,0.1728395061728395,13
1.0,bin_floor,english,0,1,0.0,1
1.0,bin_floor,traditional_chinese,14,80,0.175,12
1.0,bin_floor,combined,14,81,0.1728395061728395,13
1.0,lanczos2_7tap_16phase,english,0,1,0.0,1
1.0,lanczos2_7tap_16phase,traditional_chinese,14,80,0.175,12
1.0,lanczos2_7tap_16phase,combined,14,81,0.1728395061728395,13
1.0,lanczos3_7tap_16phase,english,0,1,0.0,1
1.0,lanczos3_7tap_16phase,traditional_chinese,14,80,0.175,12
1.0,lanczos3_7tap_16phase,combined,14,81,0.1728395061728395,13
1.0,opencv_bilinear,english,0,1,0.0,1
1.0,opencv_bilinear,traditional_chinese,14,80,0.175,12
1.0,opencv_bilinear,combined,14,81,0.1728395061728395,13
1.133333333333,bin_ceil,english,0,1,0.0,1
1.133333333333,bin_ceil,traditional_chinese,46,80,0.575,12
1.133333333333,bin_ceil,combined,46,81,0.5679012345679012,13
1.133333333333,bin_floor,english,0,1,0.0,1
1.133333333333,bin_floor,traditional_chinese,14,80,0.175,12
1.133333333333,bin_floor,combined,14,81,0.1728395061728395,13
1.133333333333,lanczos2_7tap_16phase,english,0,1,0.0,1
1.133333333333,lanczos2_7tap_16phase,traditional_chinese,5,80,0.0625,12
1.133333333333,lanczos2_7tap_16phase,combined,5,81,0.06172839506172839,13
1.133333333333,lanczos3_7tap_16phase,english,0,1,0.0,1
1.133333333333,lanczos3_7tap_16phase,traditional_chinese,6,80,0.075,12
1.133333333333,lanczos3_7tap_16phase,combined,6,81,0.07407407407407407,13
1.133333333333,opencv_bilinear,english,0,1,0.0,1
1.133333333333,opencv_bilinear,traditional_chinese,6,80,0.075,12
1.133333333333,opencv_bilinear,combined,6,81,0.07407407407407407,13
1.266666666667,bin_ceil,english,0,1,0.0,1
1.266666666667,bin_ceil,traditional_chinese,33,80,0.4125,12
1.266666666667,bin_ceil,combined,33,81,0.4074074074074074,13
1.266666666667,bin_floor,english,0,1,0.0,1
1.266666666667,bin_floor,traditional_chinese,9,80,0.1125,12
1.266666666667,bin_floor,combined,9,81,0.1111111111111111,13
1.266666666667,lanczos2_7tap_16phase,english,0,1,0.0,1
1.266666666667,lanczos2_7tap_16phase,traditional_chinese,6,80,0.075,12
1.266666666667,lanczos2_7tap_16phase,combined,6,81,0.07407407407407407,13
1.266666666667,lanczos3_7tap_16phase,english,0,1,0.0,1
